description,industry,level,size,line_code,value
Importance of pricing of goods and services sold by this business - not at all important,total,0,6–19 employees,C0201_01,585
Importance of pricing of goods and services sold by this business - not at all important,total,0,20–49 employees,C0201_01,186
Importance of pricing of goods and services sold by this business - not at all important,total,0,50–99 employees,C0201_01,54
Importance of pricing of goods and services sold by this business - not at all important,total,0,100+ employees,C0201_01,27
Importance of pricing of goods and services sold by this business - not at all important,"Agriculture, forestry, & fishing",1,total,C0201_01,204
Importance of pricing of goods and services sold by this business - not at all important,Agriculture,2,total,C0201_01,135
Importance of pricing of goods and services sold by this business - not at all important,Commercial fishing,2,total,C0201_01,3
Importance of pricing of goods and services sold by this business - not at all important,Forestry & logging,2,total,C0201_01,18
Importance of pricing of goods and services sold by this business - not at all important,"Agriculture, forestry, & fishing support services",2,total,C0201_01,51
Importance of pricing of goods and services sold by this business - not at all important,Mining,1,total,C0201_01,12
Importance of pricing of goods and services sold by this business - not at all important,Manufacturing,1,total,C0201_01,63
Importance of pricing of goods and services sold by this business - not at all important,"Food, beverage, & tobacco",2,total,C0201_01,18
Importance of pricing of goods and services sold by this business - not at all important,"Textile, clothing, footwear, & leather",2,total,C0201_01,9
Importance of pricing of goods and services sold by this business - not at all important,Wood & paper product,2,total,C0201_01,0
Importance of pricing of goods and services sold by this business - not at all important,"Printing, publishing, & recorded media",2,total,C0201_01,0
Importance of pricing of goods and services sold by this business - not at all important,"Petroleum, coal, chemical, & associated product",2,total,C0201_01,3
Importance of pricing of goods and services sold by this business - not at all important,Non-metallic mineral product,2,total,C0201_01,0
Importance of pricing of goods and services sold by this business - not at all important,Metal product,2,total,C0201_01,21
Importance of pricing of goods and services sold by this business - not at all important,Transport and industrial machinery & equipment,2,total,C0201_01,9
Importance of pricing of goods and services sold by this business - not at all important,Other machinery & equipment,2,total,C0201_01,3
Importance of pricing of goods and services sold by this business - not at all important,Other manufacturing,2,total,C0201_01,0
Importance of pricing of goods and services sold by this business - not at all important,"Electricity, gas, water, & waste services",1,total,C0201_01,3
Importance of pricing of goods and services sold by this business - not at all important,Construction,1,total,C0201_01,3
Importance of pricing of goods and services sold by this business - not at all important,Wholesale trade,1,total,C0201_01,60
Importance of pricing of goods and services sold by this business - not at all important,Machinery & equipment wholesaling,2,total,C0201_01,18
Importance of pricing of goods and services sold by this business - not at all important,Other wholesale trade,2,total,C0201_01,42
Importance of pricing of goods and services sold by this business - not at all important,Retail trade,1,total,C0201_01,3
Importance of pricing of goods and services sold by this business - not at all important,Accommodation & food services,1,total,C0201_01,9
Importance of pricing of goods and services sold by this business - not at all important,"Transport, postal, & warehousing",1,total,C0201_01,54
Importance of pricing of goods and services sold by this business - not at all important,Information media & telecommunications,1,total,C0201_01,3
Importance of pricing of goods and services sold by this business - not at all important,Publishing,2,total,C0201_01,0
Importance of pricing of goods and services sold by this business - not at all important,Motion picture,2,total,C0201_01,0
Importance of pricing of goods and services sold by this business - not at all important,Telecommunications,2,total,C0201_01,0
Importance of pricing of goods and services sold by this business - not at all important,Financial & insurance services,1,total,C0201_01,51
Importance of pricing of goods and services sold by this business - not at all important,Finance,2,total,C0201_01,27
Importance of pricing of goods and services sold by this business - not at all important,Insurance,2,total,C0201_01,0
Importance of pricing of goods and services sold by this business - not at all important,Auxiliary,2,total,C0201_01,27
Importance of pricing of goods and services sold by this business - not at all important,"Rental, hiring, & real estate services",1,total,C0201_01,69
Importance of pricing of goods and services sold by this business - not at all important,"Professional, scientific, & technical services",1,total,C0201_01,81
Importance of pricing of goods and services sold by this business - not at all important,Computer systems design,2,total,C0201_01,18
Importance of pricing of goods and services sold by this business - not at all important,Other professional scientific,2,total,C0201_01,63
Importance of pricing of goods and services sold by this business - not at all important,Administrative & support services,1,total,C0201_01,63
Importance of pricing of goods and services sold by this business - not at all important,Education & training,1,total,C0201_01,39
Importance of pricing of goods and services sold by this business - not at all important,Health care & social assistance,1,total,C0201_01,120
Importance of pricing of goods and services sold by this business - not at all important,Arts & recreation services,1,total,C0201_01,9
Importance of pricing of goods and services sold by this business - not at all important,Other services,1,total,C0201_01,0
Importance of pricing of goods and services sold by this business - not at all important,total,0,total,C0201_01,849
Importance of pricing of goods and services sold by this business - a little important,total,0,6–19 employees,C0201_02,1269
Importance of pricing of goods and services sold by this business - a little important,total,0,20–49 employees,C0201_02,192
Importance of pricing of goods and services sold by this business - a little important,total,0,50–99 employees,C0201_02,51
Importance of pricing of goods and services sold by this business - a little important,total,0,100+ employees,C0201_02,48
Importance of pricing of goods and services sold by this business - a little important,"Agriculture, forestry, & fishing",1,total,C0201_02,141
Importance of pricing of goods and services sold by this business - a little important,Agriculture,2,total,C0201_02,93
Importance of pricing of goods and services sold by this business - a little important,Commercial fishing,2,total,C0201_02,0
Importance of pricing of goods and services sold by this business - a little important,Forestry & logging,2,total,C0201_02,9
Importance of pricing of goods and services sold by this business - a little important,"Agriculture, forestry, & fishing support services",2,total,C0201_02,39
Importance of pricing of goods and services sold by this business - a little important,Mining,1,total,C0201_02,0
Importance of pricing of goods and services sold by this business - a little important,Manufacturing,1,total,C0201_02,99
Importance of pricing of goods and services sold by this business - a little important,"Food, beverage, & tobacco",2,total,C0201_02,36
Importance of pricing of goods and services sold by this business - a little important,"Textile, clothing, footwear, & leather",2,total,C0201_02,6
Importance of pricing of goods and services sold by this business - a little important,Wood & paper product,2,total,C0201_02,18
Importance of pricing of goods and services sold by this business - a little important,"Printing, publishing, & recorded media",2,total,C0201_02,12
Importance of pricing of goods and services sold by this business - a little important,"Petroleum, coal, chemical, & associated product",2,total,C0201_02,6
Importance of pricing of goods and services sold by this business - a little important,Non-metallic mineral product,2,total,C0201_02,3
Importance of pricing of goods and services sold by this business - a little important,Metal product,2,total,C0201_02,0
Importance of pricing of goods and services sold by this business - a little important,Transport and industrial machinery & equipment,2,total,C0201_02,6
Importance of pricing of goods and services sold by this business - a little important,Other machinery & equipment,2,total,C0201_02,3
Importance of pricing of goods and services sold by this business - a little important,Other manufacturing,2,total,C0201_02,6
Importance of pricing of goods and services sold by this business - a little important,"Electricity, gas, water, & waste services",1,total,C0201_02,3
Importance of pricing of goods and services sold by this business - a little important,Construction,1,total,C0201_02,189
Importance of pricing of goods and services sold by this business - a little important,Wholesale trade,1,total,C0201_02,60
Importance of pricing of goods and services sold by this business - a little important,Machinery & equipment wholesaling,2,total,C0201_02,27
Importance of pricing of goods and services sold by this business - a little important,Other wholesale trade,2,total,C0201_02,33
Importance of pricing of goods and services sold by this business - a little important,Retail trade,1,total,C0201_02,57
Importance of pricing of goods and services sold by this business - a little important,Accommodation & food services,1,total,C0201_02,198
Importance of pricing of goods and services sold by this business - a little important,"Transport, postal, & warehousing",1,total,C0201_02,114
Importance of pricing of goods and services sold by this business - a little important,Information media & telecommunications,1,total,C0201_02,15
Importance of pricing of goods and services sold by this business - a little important,Publishing,2,total,C0201_02,6
Importance of pricing of goods and services sold by this business - a little important,Motion picture,2,total,C0201_02,3
Importance of pricing of goods and services sold by this business - a little important,Telecommunications,2,total,C0201_02,3
Importance of pricing of goods and services sold by this business - a little important,Financial & insurance services,1,total,C0201_02,33
Importance of pricing of goods and services sold by this business - a little important,Finance,2,total,C0201_02,9
Importance of pricing of goods and services sold by this business - a little important,Insurance,2,total,C0201_02,3
Importance of pricing of goods and services sold by this business - a little important,Auxiliary,2,total,C0201_02,24
Importance of pricing of goods and services sold by this business - a little important,"Rental, hiring, & real estate services",1,total,C0201_02,45
Importance of pricing of goods and services sold by this business - a little important,"Professional, scientific, & technical services",1,total,C0201_02,159
Importance of pricing of goods and services sold by this business - a little important,Computer systems design,2,total,C0201_02,30
Importance of pricing of goods and services sold by this business - a little important,Other professional scientific,2,total,C0201_02,132
Importance of pricing of goods and services sold by this business - a little important,Administrative & support services,1,total,C0201_02,60
Importance of pricing of goods and services sold by this business - a little important,Education & training,1,total,C0201_02,102
Importance of pricing of goods and services sold by this business - a little important,Health care & social assistance,1,total,C0201_02,210
Importance of pricing of goods and services sold by this business - a little important,Arts & recreation services,1,total,C0201_02,21
Importance of pricing of goods and services sold by this business - a little important,Other services,1,total,C0201_02,48
Importance of pricing of goods and services sold by this business - a little important,total,0,total,C0201_02,1563
Importance of pricing of goods and services sold by this business - moderately important,total,0,6–19 employees,C0201_03,5943
Importance of pricing of goods and services sold by this business - moderately important,total,0,20–49 employees,C0201_03,1212
Importance of pricing of goods and services sold by this business - moderately important,total,0,50–99 employees,C0201_03,363
Importance of pricing of goods and services sold by this business - moderately important,total,0,100+ employees,C0201_03,273
Importance of pricing of goods and services sold by this business - moderately important,"Agriculture, forestry, & fishing",1,total,C0201_03,486
Importance of pricing of goods and services sold by this business - moderately important,Agriculture,2,total,C0201_03,240
Importance of pricing of goods and services sold by this business - moderately important,Commercial fishing,2,total,C0201_03,12
Importance of pricing of goods and services sold by this business - moderately important,Forestry & logging,2,total,C0201_03,24
Importance of pricing of goods and services sold by this business - moderately important,"Agriculture, forestry, & fishing support services",2,total,C0201_03,213
Importance of pricing of goods and services sold by this business - moderately important,Mining,1,total,C0201_03,15
Importance of pricing of goods and services sold by this business - moderately important,Manufacturing,1,total,C0201_03,903
Importance of pricing of goods and services sold by this business - moderately important,"Food, beverage, & tobacco",2,total,C0201_03,150
Importance of pricing of goods and services sold by this business - moderately important,"Textile, clothing, footwear, & leather",2,total,C0201_03,60
Importance of pricing of goods and services sold by this business - moderately important,Wood & paper product,2,total,C0201_03,90
Importance of pricing of goods and services sold by this business - moderately important,"Printing, publishing, & recorded media",2,total,C0201_03,24
Importance of pricing of goods and services sold by this business - moderately important,"Petroleum, coal, chemical, & associated product",2,total,C0201_03,72
Importance of pricing of goods and services sold by this business - moderately important,Non-metallic mineral product,2,total,C0201_03,15
Importance of pricing of goods and services sold by this business - moderately important,Metal product,2,total,C0201_03,222
Importance of pricing of goods and services sold by this business - moderately important,Transport and industrial machinery & equipment,2,total,C0201_03,168
Importance of pricing of goods and services sold by this business - moderately important,Other machinery & equipment,2,total,C0201_03,48
Importance of pricing of goods and services sold by this business - moderately important,Other manufacturing,2,total,C0201_03,51
Importance of pricing of goods and services sold by this business - moderately important,"Electricity, gas, water, & waste services",1,total,C0201_03,39
Importance of pricing of goods and services sold by this business - moderately important,Construction,1,total,C0201_03,657
Importance of pricing of goods and services sold by this business - moderately important,Wholesale trade,1,total,C0201_03,570
Importance of pricing of goods and services sold by this business - moderately important,Machinery & equipment wholesaling,2,total,C0201_03,204
Importance of pricing of goods and services sold by this business - moderately important,Other wholesale trade,2,total,C0201_03,366
Importance of pricing of goods and services sold by this business - moderately important,Retail trade,1,total,C0201_03,609
Importance of pricing of goods and services sold by this business - moderately important,Accommodation & food services,1,total,C0201_03,1110
Importance of pricing of goods and services sold by this business - moderately important,"Transport, postal, & warehousing",1,total,C0201_03,228
Importance of pricing of goods and services sold by this business - moderately important,Information media & telecommunications,1,total,C0201_03,81
Importance of pricing of goods and services sold by this business - moderately important,Publishing,2,total,C0201_03,39
Importance of pricing of goods and services sold by this business - moderately important,Motion picture,2,total,C0201_03,30
Importance of pricing of goods and services sold by this business - moderately important,Telecommunications,2,total,C0201_03,12
Importance of pricing of goods and services sold by this business - moderately important,Financial & insurance services,1,total,C0201_03,141
Importance of pricing of goods and services sold by this business - moderately important,Finance,2,total,C0201_03,39
Importance of pricing of goods and services sold by this business - moderately important,Insurance,2,total,C0201_03,6
Importance of pricing of goods and services sold by this business - moderately important,Auxiliary,2,total,C0201_03,99
Importance of pricing of goods and services sold by this business - moderately important,"Rental, hiring, & real estate services",1,total,C0201_03,147
Importance of pricing of goods and services sold by this business - moderately important,"Professional, scientific, & technical services",1,total,C0201_03,1224
Importance of pricing of goods and services sold by this business - moderately important,Computer systems design,2,total,C0201_03,222
Importance of pricing of goods and services sold by this business - moderately important,Other professional scientific,2,total,C0201_03,1005
Importance of pricing of goods and services sold by this business - moderately important,Administrative & support services,1,total,C0201_03,315
Importance of pricing of goods and services sold by this business - moderately important,Education & training,1,total,C0201_03,261
Importance of pricing of goods and services sold by this business - moderately important,Health care & social assistance,1,total,C0201_03,723
Importance of pricing of goods and services sold by this business - moderately important,Arts & recreation services,1,total,C0201_03,84
Importance of pricing of goods and services sold by this business - moderately important,Other services,1,total,C0201_03,192
Importance of pricing of goods and services sold by this business - moderately important,total,0,total,C0201_03,7791
Importance of pricing of goods and services sold by this business - very important,total,0,6–19 employees,C0201_04,21783
Importance of pricing of goods and services sold by this business - very important,total,0,20–49 employees,C0201_04,5751
